System:,Log-Version,0.1,Lib-Version,4.4
PC:,Host-Name,W7-DESKTOP-1,Time,2014-04-23T13:44:43.5726266Z




SignalName: time [ms],D0 P,D0 V,D0 A,D1 P,D1 V,D1 A
Uri: ,,,,,,
Unit: ms,rad,rad/s,rad/s^2,rad,rad/s,rad/s^2
0,0.1,0,0,1.2,0,0
0,0.1,0,0,1.2,0,0
0.1,0.0999999086,-0.0024999999,-50,1.2,0,0
0.2,0.0999993252,-0.0099999998,-100,1.2,0,0
0.3,0.0999977419,-0.022499999,-150,1.2,0,0
0.4,0.0999946586,-0.0399999991,-200,1.2,0,0
0.5,0.0999895752,-0.0624999925,-249.9999847412,1.2,0,0
0.6,0.0999819919,-0.0899999961,-300,1.2,0,0
0.7,0.0999714085,-0.1224999949,-350,1.2,0,0
0.8,0.0999573252,-0.1599999964,-400,1.2,0,0
0.9,0.0999392419,-0.2025000006,-450,1.2,0,0
1,0.0999166586,-0.2499999702,-499.9999694824,1.2,0,0
1.1,0.0998890752,-0.3025000095,-550,1.2,0,0
1.2,0.0998559919,-0.3599999845,-600,1.2,0,0
1.3,0.0998169086,-0.4225000143,-650,1.2,0,0
1.4,0.0997713252,-0.4899999797,-700,1.2,0,0
1.5,0.0997187419,-0.5625,-750,1.2,0,0
1.6,0.0996586586,-0.6399999857,-800,1.2,0,0
1.7,0.0995905753,-0.722499907,-849.9999389648,1.2,0,0
1.8,0.0995139919,-0.8100000024,-900,1.2,0,0
1.9,0.0994284086,-0.9024999142,-949.9999389648,1.2,0,0
2,0.0993333254,-0.9999998808,-999.9999389648,1.2,0,0
2.1,0.0992282419,-1.1024999619,-1050,1.2,0,0
2.2,0.0991126585,-1.2100000381,-1100,1.2,0,0
2.3,0.0989860751,-1.3224999905,-1150,1.2,0,0
2.4,0.098847992,-1.439999938,-1200,1.2,0,0
2.5,0.0986979085,-1.5625,-1250,1.2,0,0
2.6,0.0985353252,-1.6900000572,-1300,1.2,0,0
2.7,0.0983597423,-1.822499752,-1349.9998779297,1.2,0,0
2.8,0.0981706585,-1.9599999189,-1400,1.2,0,0
2.9,0.0979675753,-2.1024999619,-1450,1.1999999625,-0.0024999999,-50
3,0.0977499919,-2.25,-1500,1.199999379,-0.0099999998,-100
3.1,0.097517409,-2.4024996758,-1549.9998779297,1.1999977957,-0.022499999,-150
3.2,0.0972693252,-2.5599999428,-1600,1.1999947126,-0.0399999991,-200
3.3,0.097005242,-2.7225000858,-1650,1.199989629,-0.0624999925,-249.9999847412
3.4,0.0967246592,-2.8899996281,-1699.9998779297,1.1999820457,-0.0899999961,-300
3.5,0.0964270756,-3.0624997616,-1749.9998779297,1.1999714626,-0.1224999949,-350
3.6,0.0961119922,-3.2400000095,-1800,1.1999573791,-0.1599999964,-400
3.7,0.0957789084,-3.4224998951,-1850,1.1999392956,-0.2025000006,-450
3.8,0.0954273257,-3.6099996567,-1899.9998779297,1.1999167125,-0.2499999702,-499.9999694824
3.9,0.0950567423,-3.8025000095,-1950,1.199889129,-0.3025000095,-550
4,0.0946666597,-3.9999995232,-1999.9998779297,1.1998560457,-0.3599999845,-600
4.1,0.094256575,-4.2024998665,-2050,1.1998169627,-0.4225000143,-650
4.2,0.0938259925,-4.4099998474,-2100,1.1997713791,-0.4899999797,-700
4.3,0.09337441,-4.6224989891,-2149.9997558594,1.1997187957,-0.5625,-750
4.4,0.0929013247,-4.8400001526,-2200,1.1996587124,-0.6399999857,-800
